INFO:root:10/12/2018 - 12:1:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:2:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:3:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:4:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:5:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:6:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:7:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:8:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:9:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:10:30 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:12:22 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:13:22 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:14:59 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:15:59 -> b'KITCHEN OFF, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:16:59 -> b'KITCHEN ON, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:18:0 -> b'KITCHEN ON, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:19:0 -> b'KITCHEN ON, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:20:0 -> b'KITCHEN ON, BATHROOM OFF, LIVING ROOM OFF'
INFO:root:10/12/2018 - 12:21:0 -> b'KITCHEN ON, BATHROOM ON, LIVING ROOM ON'
INFO:root:10/12/2018 - 12:22:0 -> b'KITCHEN ON, BATHROOM ON, LIVING ROOM ON'
INFO:root:10/12/2018 - 12:23:0 -> b'KITCHEN ON, BATHROOM ON, LIVING ROOM ON'
